epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,1.107731022553571,0.37733361301729046,1.011534837787979,0.5808858931150698,0.5219337521038739
2,1.0570029888471435,0.49902610050642776,0.9863213385290748,0.5746268656716418,0.5597625330084909
3,1.0307870024148142,0.5315693266608732,0.9264485351544018,0.6110977371208474,0.5813813325851093
4,1.0084326140463562,0.5479008720146235,0.8970960067279303,0.6208473760231102,0.6008847417928972
5,0.9888748767288712,0.5634832639117797,0.8566699399432139,0.635050553683197,0.6141717183695321
6,0.9764402042468763,0.5716939857960505,0.8352916417899015,0.6330043331728454,0.6071628919577913
7,0.9587993727886038,0.5856282400886997,0.8113816359982102,0.6568367838228214,0.6444691715012366
8,0.9492159550831761,0.5907224835935393,0.7888957148253717,0.6695955705344246,0.6584910976534945
9,0.9350999245673337,0.6009409367414821,0.7666101792094566,0.6787433798748195,0.6685749334924291
10,0.9254625138521716,0.5985436456803812,0.7722041782746822,0.6718825228695233,0.6722045510873731
11,0.9097933136421256,0.6126277306643493,0.7566649528380822,0.6853635050553684,0.6869286409798375
12,0.9041806130262636,0.6084025051691588,0.745268488144094,0.6816321617717862,0.6842383407320042
13,0.895038864906289,0.616942854574331,0.7464118136140551,0.6748916706788638,0.6809084666026582
14,0.8872584228048233,0.6224566240148632,0.735650747153526,0.6768175252768416,0.6791233457898359
15,0.8798099676972794,0.6237152018219412,0.7380966261552973,0.6722436206066442,0.676890303311489
16,0.8786504637944623,0.6271313415840101,0.7374020163391322,0.6715214251324025,0.677509358788827
17,0.8745109293327316,0.6283599532528243,0.7305381597451539,0.6858449687048628,0.6920220338008868
18,0.8656942923426725,0.6369302687962602,0.7124785599466924,0.6965575349061146,0.7004700180110102
19,0.8631902374600683,0.6317461268766295,0.7273970041989017,0.6748916706788638,0.68280330365004
20,0.8598735781859203,0.6344730454586317,0.7079617827269798,0.6921039961482908,0.6963353146435164
21,0.8572017036404952,0.6381588804650745,0.7442518578565173,0.6659845931632162,0.6784482477487019
22,0.8514094044955653,0.6412453927062419,0.7176013544496,0.6874097255657198,0.6958181545072191
23,0.8547849230626121,0.6396272212399988,0.7142267656200025,0.6785026480500722,0.6857192802742541
24,0.8480842928876983,0.6394474244104162,0.7041026441363343,0.6840394800192585,0.6890613053148366
25,0.8452389825058778,0.6458002457223337,0.7039574002797752,0.6990852190659606,0.7057399812217516
26,0.8477876282356993,0.6429534625872764,0.7154529929792416,0.6893355801636977,0.6983562380536065
27,0.8455039794803476,0.6441521081178269,0.6961745958977957,0.6994463168030813,0.7045036200199196
28,0.8396102812891686,0.6491564532078751,0.6943325880532891,0.6967982667308619,0.7023117719486199
29,0.8427948847876114,0.6434928530760241,0.7131414419837335,0.6883726528647087,0.6993499499578076
30,0.8381605913989791,0.6447813970213658,0.6939037153797765,0.7054646124217622,0.7117701084841772
31,0.8372870324945497,0.6453807197866411,0.67449994821444,0.7164179104477612,0.7212370566745914
32,0.8366904916502818,0.645021126127476,0.667439941637896,0.7106403466538276,0.7122042925341148
33,0.8336177942586444,0.6495160468670402,0.6927427147937958,0.6951131439576312,0.7018839898648099
