epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,1.012053476237925,0.5076876695809467,0.9173359132391967,0.5920398009950248,0.6135931785193357
2,0.877534791794757,0.6165209526680736,0.7545705205517675,0.6702309348778496,0.679598922523768
3,0.7796059455333857,0.6599671724784779,0.6298703717045293,0.7215415460013366,0.7212643740406588
4,0.7163349611792809,0.6880882993334003,0.5612511769641948,0.7500556916907998,0.7447362376265306
5,0.6671181834900483,0.7144173114929823,0.5282290410675042,0.7667631989307195,0.7648323549883139
6,0.6413378091586102,0.7250025123103205,0.5053225602265004,0.7870349743818222,0.7844507145173765
7,0.602853056758795,0.7452517334941212,0.49984380417166835,0.7836192173461053,0.7874354709329761
8,0.58242132804747,0.7535591062874752,0.47797564982819096,0.7848073067498329,0.7844728878951127
9,0.5572775995631923,0.7673768130506147,0.4293640072471254,0.8159946535976832,0.8165241762378627
10,0.5395273963690196,0.7728034033430476,0.4278911272932588,0.8178510432910077,0.8173377110973747
11,0.5289832583795467,0.7803235855692895,0.4096710674966498,0.8230489344323161,0.8241485872051744
12,0.5096750349586056,0.7882792349177637,0.3982979091219181,0.8307715155565456,0.833631218187995
13,0.5008806831144158,0.7913944997152715,0.4048741249988753,0.8241627682483107,0.82574989645411
14,0.48545337478793,0.7969550798914682,0.41255305480070065,0.8214895670899235,0.8249295244873244
15,0.46390669025370684,0.8065856027869895,0.352177050421372,0.8492611569020568,0.8478116445336552
16,0.4508551444910848,0.8117944595183064,0.3695369412645497,0.8425781540060889,0.8435839138179999
17,0.4455286559417923,0.8168693263658594,0.35606210428914065,0.8397564416722358,0.8398842814741568
18,0.43583556183451955,0.8212742437945935,0.33971380196019907,0.8537907477537685,0.8528146078128785
19,0.4384809307909026,0.8200348373697786,0.37808928509956036,0.8390881413826391,0.8422634519634816
20,0.4231189721864268,0.8261313770810303,0.3508187491241202,0.8495581792529888,0.8496731647353863
21,0.42424469766896583,0.8263826081130875,0.34553081703635713,0.8495581792529888,0.8532430493450895
22,0.4040022622642296,0.8355106689444947,0.3112361386043241,0.8674537758966362,0.8683878821374423
23,0.4058398535405316,0.8330988510367467,0.32814454358050893,0.8609935397638673,0.8619835093047098
24,0.3933511910732278,0.839815093960406,0.29534429675678353,0.8753248681963318,0.8751313829619428
25,0.3841713694613794,0.8440525240344354,0.3493593836482192,0.8502264795425856,0.8531450497029595
26,0.3843694586369579,0.8414229725655713,0.3156958218914829,0.8629984406326576,0.8662557030544631
27,0.3783015752248587,0.8467323217097109,0.3073119227233988,0.8716863443974159,0.8739223149617714
28,0.37551928686523817,0.846380598264831,0.29883023890680976,0.8732457117398085,0.8739103749142692
29,0.3682078429182159,0.8504672897196262,0.29013316348120943,0.8774040246528552,0.8777306864285155
30,0.3625538374418646,0.8525943791243761,0.27802444598213943,0.8820821266800327,0.8843155513535349
31,0.36336087387790034,0.8526446253307876,0.276479220909487,0.8843840498997549,0.8857409014400038
32,0.3518120869252924,0.8575185073526949,0.28307778283089496,0.8815623375659019,0.8830823335567396
33,0.3520819727396664,0.8576692459719292,0.2747354043238659,0.8807455261008391,0.8804915541535334
34,0.35182826723384925,0.8596790942283857,0.28403517859031835,0.8782950917056509,0.8804253335895215
35,0.3530569404814865,0.8582554517133957,0.27799337847846967,0.8826761713818965,0.8841080680719017
36,0.33783941299538833,0.8646367199276455,0.2669523938601803,0.884235538724289,0.8856203649782894
37,0.34578579100189477,0.8615047063946673,0.2596967557300356,0.8898789633919952,0.8917225371240988
38,0.327523560035198,0.8693263658593776,0.2580225985233614,0.8927749313135813,0.8943842711965326
39,0.3278786756188866,0.8675509998995076,0.2640976016831892,0.8896561966287964,0.8923675897348394
40,0.3279668235579747,0.8698120791880213,0.26806375601535615,0.8837900051978912,0.8861705491317516
41,0.32673715151025556,0.8691756272401434,0.255443919210212,0.8918096086730527,0.8922960165334927
42,0.3186030520143507,0.8706662646970154,0.25819970713281737,0.8939630207173089,0.8959239966758794
43,0.3192638874561093,0.8731953237530566,0.24884290349455163,0.8945570654191728,0.8957647946460784
44,0.31640004270674454,0.8754899005125113,0.252569534398492,0.8961906883492983,0.8975683371633437
45,0.3139273569392658,0.8747194586808696,0.26027226788638086,0.8921066310239846,0.8943114660590398
46,0.3098780450810181,0.8763105885505644,0.24875561121870293,0.8941857874805079,0.8955802124273754
47,0.3075757884897986,0.8770475329112652,0.25128568336007995,0.8966362218756961,0.8983997893632969
48,0.3069901682701765,0.8763440860215054,0.2501901386774152,0.8959679215860994,0.8977467097080767
49,0.30563921180956766,0.8782701906006096,0.24972848804201342,0.8920323754362516,0.8947487224291065
50,0.2936070292017086,0.8840485043379225,0.25794048142068465,0.8919581198485186,0.8939585027082277
51,0.3033355523653415,0.8781864469232573,0.23961056907206005,0.8994579342095492,0.9003047851194976
52,0.2959447227159114,0.8831105751515761,0.24455372271284084,0.8976758001039579,0.8994662909173059
53,0.2948915056171251,0.883747027099454,0.23792974926598257,0.8986411227444865,0.9002234425976817
54,0.2923938540252446,0.8841154992798044,0.24376336284374053,0.897156010989827,0.8982336351497182
55,0.29901063152098584,0.8801293002378321,0.24262925306296504,0.8962649439370313,0.8972492067310277
56,0.28366794498216225,0.8873815026965464,0.23310997097823458,0.9037647582980619,0.9038605146480576
57,0.28776371638837683,0.8855391417947945,0.23153514258733365,0.8988638895076855,0.9007381788791514
58,0.2886038907100634,0.8840317556024521,0.23802394336312865,0.9010173015519418,0.9027277045855812
59,0.28790438059473206,0.8860081063879677,0.2332616173637695,0.8973045221652929,0.8987214528826103
60,0.28491844033446617,0.8880012059089539,0.23380111149484775,0.9025766688943343,0.9036609106956774
61,0.28396232879445754,0.8868790406324323,0.21068328891200938,0.9104477611940298,0.9113037795878245
62,0.28222223532243584,0.8896425819850601,0.223520400971473,0.9031707135961982,0.9036348786700744
63,0.27789739112923806,0.8890563762435936,0.22689201959927557,0.9026509244820673,0.9031215985265892
64,0.2780247487404061,0.8882021907345995,0.21528111145496723,0.9071062597460459,0.9078470146444055
65,0.2784538392912334,0.8899608079589991,0.20854744032106112,0.9127496844137521,0.9134535451831256
66,0.269435485075779,0.8939637557364419,0.21540149708978404,0.906883492982847,0.9074983894643659
67,0.27506260322965626,0.89034602887482,0.2182703732574509,0.9045815697631246,0.9054618279095792
68,0.2682274101138618,0.8933105550530935,0.21996151728553762,0.9074775376847107,0.9088557333133478
69,0.2682448041679947,0.8943992228586741,0.23755212230955722,0.8968589886388951,0.8976245961828656
70,0.27487333430685407,0.8910494757645798,0.22366053177238954,0.9040617806489938,0.9055467679637088
71,0.26788163526264525,0.8945667102133789,0.2340993321538547,0.8973045221652929,0.8998939747748139
72,0.26912378129112785,0.8937292734398553,0.21695006116555265,0.906809237395114,0.9082885061205019
73,0.26637889350962646,0.8945332127424379,0.22336518299657518,0.9056211479913864,0.9064760445350756
74,0.26116476882175116,0.8970622717984792,0.23638790509717947,0.9010915571396748,0.9035496062812322
75,0.26599015754699684,0.8938632633236191,0.23312365010257924,0.9007202792010098,0.9021484231803091
76,0.2664435912193563,0.8941982380330286,0.21161721266372932,0.910002227667632,0.9106404975474897
77,0.264667952068037,0.8958731115800757,0.21915015431770088,0.9075517932724437,0.908330672403045
78,0.2632092333886087,0.8955548856061367,0.20372599182636478,0.9123784064750873,0.9130059498249651
79,0.2639011676558553,0.8944829665360265,0.21345938868411818,0.9097052053167001,0.9111795224870998
80,0.2574183253960542,0.8965095635279536,0.204083001564046,0.9123041508873543,0.9131592084828228
81,0.2546525653629504,0.8991726124677587,0.22445087279014336,0.9052498700527215,0.9070805156556379
82,0.2546916649714389,0.8987873915519379,0.21560426548000539,0.9086656270884385,0.9097170974640145
83,0.2641218328186544,0.896275081231367,0.20887626416435165,0.9097794609044331,0.9108384357985495
84,0.2581735665897498,0.8973302515660068,0.2011775147968441,0.9161654414494691,0.9168821331805632
85,0.2569615265053588,0.898368673165176,0.20996272664072077,0.9081458379743076,0.9098079315061007
86,0.2522046344498691,0.9010484708404516,0.22302782900696158,0.9044330585876588,0.9060958860342946
87,0.2639345283568678,0.8961075938766623,0.20809731665057346,0.9145318185193436,0.9154352341538201
88,0.24393981393288516,0.9023548722071484,0.21008640589135663,0.9108190391326947,0.91224313842235
89,0.257369503201919,0.898368673165176,0.22603014539842875,0.9027251800698003,0.904426375063733
90,0.2496148087549752,0.9005460087763374,0.21280586822416928,0.9087398826761713,0.9083738662921208
91,0.2497056831066618,0.9029243292131444,0.20320473605822356,0.9119328729486894,0.9125893289080749
92,0.2473788768189323,0.9017519177302113,0.23172477203607117,0.9045073141753917,0.9054404819422283
93,0.247559627598234,0.9029075804776739,0.20538100940932266,0.9118586173609564,0.9132653960071432
94,0.23817992063163532,0.9062908250427093,0.20988871262839565,0.9076260488601767,0.9097266231307709
95,0.24120508732398152,0.904079991960607,0.21402385980587915,0.9070320041583129,0.908768421691335
96,0.2502991953671959,0.9015341841690953,0.21226309395880072,0.9087398826761713,0.9093631907028383
97,0.24205481701041692,0.9043312229926641,0.19994753477452476,0.9146803296948095,0.9150706096400364
98,0.2411376739154348,0.9039794995477841,0.19198050267793576,0.9186158758446573,0.9190402461807861
99,0.24537344897050528,0.9016179278464476,0.21514248292611846,0.9089626494393703,0.9098345353800414
100,0.24551959401068008,0.9015844303755066,0.20316140350692122,0.913269473527883,0.9141856835941022
101,0.24385464140473428,0.9040967406960775,0.21596038384011604,0.9087398826761713,0.9102178941156082
102,0.23579492153810688,0.9080159447961679,0.19647087724846882,0.9166852305636,0.9175041637654971
