model,accuracy,precision,recall,f1
GAT,0.6412744041202539,0.6399931414788977,0.6412744041202539,0.6391104249176126
GCN,0.6827164929931728,0.6997961108824429,0.6827164929931728,0.6861680647318521
GraphSAGE,0.7319439453826806,0.7469409352984624,0.7319439453826806,0.7350365272129125
GIN,0.7381722361959516,0.7476530632738178,0.7381722361959516,0.7402165731799295
TransformerConv,0.7454785004192119,0.7526914963569699,0.7454785004192119,0.7473267714141504
GINE,0.7467960234758654,0.7562961560305405,0.7467960234758654,0.7490826986982458
