Model,Accuracy,Precision,Recall,F1 Score
GAT,0.7255 ± 0.0109,0.7385 ± 0.0065,0.7255 ± 0.0109,0.7290 ± 0.0098
GCN,0.7571 ± 0.0079,0.7658 ± 0.0068,0.7571 ± 0.0079,0.7582 ± 0.0078
GraphSAGE,0.7649 ± 0.0059,0.7720 ± 0.0052,0.7649 ± 0.0059,0.7667 ± 0.0058
GIN,0.7620 ± 0.0079,0.7692 ± 0.0072,0.7620 ± 0.0079,0.7638 ± 0.0083
GINE,0.7660 ± 0.0059,0.7723 ± 0.0055,0.7660 ± 0.0059,0.7678 ± 0.0057
TransformerConv,0.7642 ± 0.0067,0.7703 ± 0.0057,0.7642 ± 0.0067,0.7660 ± 0.0064
