fold,accuracy,precision,recall,f1
1,0.683012434817489,0.688086674115608,0.683012434817489,0.683631852904238
2,0.6889134031991175,0.6984522909158679,0.6889134031991175,0.6905790257249029
3,0.6876096876096877,0.6946555627668826,0.6876096876096877,0.6898238389723486
4,0.6887128315699744,0.698076229504861,0.6887128315699744,0.6907490351790204
5,0.6804392518678233,0.6857350796506021,0.6804392518678233,0.6809957350525317
