epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,1.0556074068128645,0.4515618549607816,1.0519134504977956,0.4269599548787366,0.43664417186981097
2,0.9870062193902368,0.5345397000137608,0.9338529686418819,0.5664128595600677,0.5703240923273587
3,0.9621111318352168,0.5517407458373469,0.9897495162769421,0.5370840383530738,0.5592196777178818
4,0.9218464549771854,0.5896518508325306,0.827144550314006,0.6302876480541455,0.6375756577197532
5,0.8791321446319156,0.6081601761387092,0.7795196819275164,0.6453750705019741,0.6464890581422962
6,0.8468183879123456,0.6213361772395761,0.8017476954604029,0.6209813874788495,0.633640039382914
7,0.8143966288006058,0.6393628732626944,0.7252048988733598,0.6821771009588269,0.6880323266848586
8,0.8039771528737457,0.64269987615247,0.7106789291257988,0.6830231246474902,0.6861064398851183
9,0.8027413030700571,0.6405669464703454,0.7100464430439627,0.6824591088550479,0.6862185515869634
10,0.7853875205328823,0.6499587174900234,0.7374432719130336,0.6628595600676819,0.6740118137127905
11,0.7910536465359239,0.6473097564331911,0.7917644124429776,0.6352227862380146,0.6522212719231513
12,0.7782860709254574,0.6572175588275767,0.7899264371536306,0.6291596164692611,0.6477578507800326
13,0.7715364024217378,0.6597977157011147,0.7462066168746099,0.6625775521714607,0.6741895023234328
14,0.7767277828609827,0.6584560341268749,0.7277874049414905,0.6708967851099831,0.6790583922122443
15,0.7714076246694602,0.6588000550433466,0.7196503835029004,0.6813310772701635,0.6897617770179593
16,0.7560973372492384,0.6699807348286776,0.7463818247447361,0.6648336153412295,0.6790888422172194
17,0.7450284380950183,0.6738337690931608,0.7195853832930545,0.6786520022560631,0.6894504691649972
18,0.7514808006606175,0.6667125361221963,0.7003729242308289,0.6847151720248167,0.6935117158487588
19,0.7436074849371407,0.6776179991743498,0.6771551142774997,0.7043147208121827,0.7071456135741588
20,0.7414887494302377,0.6730769230769231,0.6620277963952701,0.7122109419063734,0.7133052782026926
21,0.7408280662010145,0.6793725058483556,0.7154083654864387,0.6814720812182741,0.6933356091936671
22,0.7340177517838995,0.6823654878216595,0.6808994711369898,0.6998025944726453,0.7049873608789125
23,0.7362110438657066,0.6836727673042521,0.6680084407682548,0.7037507050197406,0.7105353209558879
24,0.7290708032671582,0.6855992844364938,0.713210511563931,0.6725888324873096,0.6866432621263431
25,0.7258942453097129,0.6805077748727123,0.7482093278459419,0.6731528482797519,0.685096751910702
26,0.7306571610080207,0.6823310857300123,0.7153535043779767,0.6759729272419628,0.6883853673774231
27,0.718209830048292,0.6911380211916884,0.6918525110007812,0.6841511562323745,0.6954275907433257
28,0.7238644114264239,0.6844984175037843,0.6812985184514717,0.6897913141567964,0.7002693160076754
