epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.6520621066366846,0.6279436087264708,0.5954107602487938,0.7096598144442423,0.7647058823529411,0.3466666666666667,0.47706422018348627
2,0.5879279882516167,0.6918957233992281,0.5166896602305929,0.7700563943969437,0.679707652622528,0.7528571428571429,0.7144148215092635
3,0.5133026927906744,0.756911081357801,0.20457371605544258,0.9481535382936147,0.9187817258883249,0.9480952380952381,0.9332083430981954
4,0.3409365789076235,0.8436244782232023,0.09026925608025088,0.9685282881571766,0.9257622624834291,0.9976190476190476,0.9603483841393536
5,0.275119204758058,0.8768606757501772,0.04855591530881297,0.9907222121156994,0.980760206475833,0.9952380952380953,0.9879461120302528
6,0.2503631627792269,0.8857997952272191,0.04248291883114112,0.9903583772967073,0.9825553983969826,0.9923809523809524,0.9874437337123905
7,0.23343732646645415,0.8966291249901551,0.03748333311443364,0.989812625068219,0.9775700934579439,0.9961904761904762,0.9867924528301887
8,0.21126307143022988,0.9047018980861621,0.02622307510123169,0.9943605603056213,0.9882019820670127,0.9971428571428571,0.9926522872718654
9,0.20028619303820527,0.9114751516106167,0.045939934642079724,0.9803529197744224,0.9510869565217391,1.0,0.9749303621169917
10,0.1965422361139717,0.9106481846105379,0.026762735287677336,0.99581589958159,0.9947594092424964,0.9942857142857143,0.9945225053584187
11,0.1964741073938428,0.9130897062298181,0.03189098001273926,0.9914498817536839,0.982151244715829,0.9957142857142857,0.9888862615275479
12,0.18379477186295295,0.9171457824682996,0.02461396467405879,0.9949063125341095,0.9919278252611586,0.9947619047619047,0.9933428435568236
13,0.18402138344120245,0.9152949515633614,0.028220044733519006,0.9912679643441877,0.9794392523364486,0.9980952380952381,0.9886792452830189
14,0.1820876823938169,0.9168307474206505,0.030292101756632137,0.989630707658723,0.975780158360503,0.9976190476190476,0.9865787614786908
15,0.17927614755818785,0.918169646373159,0.0242094294995182,0.9956339821720939,0.9947569113441372,0.9938095238095238,0.9942829919009052
16,0.1736023501488856,0.9187997164684572,0.021455217750391647,0.9954520647625977,0.9928741092636579,0.9952380952380953,0.9940546967895363
17,0.1750996701793144,0.9185240608017642,0.02463000400224997,0.993814808077133,0.986346516007533,0.9976190476190476,0.9919507575757576
18,0.1788037066764744,0.9179333700874223,0.022282474609225722,0.9954520647625977,0.9905437352245863,0.9976190476190476,0.9940688018979834
19,0.17249815687102962,0.9189966133732378,0.018801537489937677,0.9950882299436056,0.9896079357581483,0.9976190476190476,0.9935973440834717
20,0.17052696645875995,0.9212412380877373,0.02015518914894278,0.993814808077133,0.9854323308270677,0.9985714285714286,0.9919583727530747
21,0.17442346485169552,0.9198629597542727,0.023704355381997104,0.9943605603056213,0.9877416313059877,0.9976190476190476,0.9926557687751718
22,0.1711173245469571,0.9182484051350712,0.02503557072776867,0.9907222121156994,0.9762900976290098,1.0,0.9880028228652082
23,0.17078516360806828,0.9221075844687722,0.024150493835082606,0.9934509732581408,0.9845070422535211,0.9985714285714286,0.9914893617021276
24,0.17251058915204406,0.9186028195636765,0.024360146016873283,0.9932690558486447,0.9844997651479568,0.9980952380952381,0.9912508867344526
25,0.1663844648253085,0.9213199968496495,0.027500669951050015,0.9945424777151174,0.996641074856046,0.9890476190476191,0.9928298279158699
26,0.16667459673948942,0.9258092462786485,0.021907704792444423,0.9929052210296525,0.9817671809256662,1.0,0.9907997169143666
27,0.16859828579296246,0.9197054422304481,0.04339170459914076,0.9841731853738402,0.9631845375057524,0.9966666666666667,0.9796395974725017
28,0.16387665051064115,0.9248247617547453,0.017993893480947966,0.99581589958159,0.9896275341819897,0.9995238095238095,0.9945510542525468
29,0.16496224029608306,0.9221075844687722,0.020262476246314703,0.9967254866290705,0.9943019943019943,0.9971428571428571,0.9957203994293866
30,0.16478599531191243,0.9228951720878947,0.01977807872818384,0.9939967254866291,0.9849835757860159,0.9995238095238095,0.9922004254313401
31,0.16217280095496675,0.9224619988973773,0.02043304997675049,0.9943605603056213,0.9868235294117647,0.9985714285714286,0.9926627218934911
32,0.15858459541957154,0.9260455225643853,0.019759718080339096,0.9943605603056213,0.9868235294117647,0.9985714285714286,0.9926627218934911
33,0.16312085410464586,0.9246278648499645,0.021069748675894912,0.9954520647625977,0.9891560584629892,0.9990476190476191,0.994077232883203
34,0.163134842488445,0.9256517287548239,0.027346952974161634,0.989812625068219,0.974025974025974,1.0,0.9868421052631579
35,0.16552388556861986,0.9223044813735528,0.04040211139921806,0.9927233036201565,0.9966248794599807,0.9842857142857143,0.9904168663152851
36,0.16512574504943844,0.9223438607545089,0.02564232268692424,0.9925413862106603,0.981299672744273,0.9995238095238095,0.9903279075253597
37,0.16182230374113993,0.9254548318500433,0.02602170163657796,0.9956339821720939,0.995702005730659,0.9928571428571429,0.994277539341917
38,0.1606053876100614,0.9261636607072536,0.022565680256373306,0.9950882299436056,0.9909995262908574,0.9961904761904762,0.9935882213251009
39,0.15780804133368512,0.9289595967551391,0.02065962444720134,0.9943605603056213,0.9882019820670127,0.9971428571428571,0.9926522872718654
40,0.16204889572970818,0.923564621564149,0.025199644553376987,0.9956339821720939,0.9905482041587902,0.9980952380952381,0.9943074003795066
41,0.15530301671895613,0.9273450421359376,0.027630517220865663,0.9945424777151174,0.9947418738049714,0.9909523809523809,0.9928435114503816
42,0.16523142219102643,0.9225013782783335,0.02260552650288409,0.9943605603056213,0.985452839042703,1.0,0.9926731269203498
43,0.15538798442957316,0.9285658029455777,0.02794195002684265,0.9914498817536839,0.9785547785547786,0.9995238095238095,0.9889281507656066
