fold,accuracy,precision,recall,f1
1,0.6791014841556358,0.6882415297770249,0.6791014841556358,0.6814445976564801
2,0.6858045429474001,0.699526566842784,0.6858045429474001,0.689214754259934
3,0.6856541142255428,0.6950659543830803,0.6856541142255428,0.6885955735783048
4,0.6850022564308279,0.6978047684576765,0.6850022564308279,0.6881419898846172
5,0.6772802487088201,0.6875465637363596,0.6772802487088201,0.6798235487897138
