epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.6888048903406365,0.6124542493536147,0.6338636785583778,0.6618308766485648,0.6686654103135172,0.9408219838495842,0.7817335135947123
2,0.6607529639973594,0.6492562371982137,0.6262474853322892,0.6777346780449961,0.6945618484080023,0.8912860069904784,0.7807221283783784
3,0.6513608440805333,0.6600181323662738,0.6250115955541816,0.6681923972071373,0.699642431466031,0.8489815595998553,0.7671113531173428
4,0.6430993569569328,0.6636446056210336,0.6277612994954602,0.6705973622963538,0.7064098644655049,0.8354827045920212,0.7655438983986748
5,0.6409151871534773,0.6633927672005642,0.6234311341869452,0.6775019394879752,0.7042628774422736,0.8601904302760034,0.7744560794313927
6,0.6359668945810648,0.6669352943151674,0.6187265952073667,0.6750969743987587,0.7035165923724617,0.8559720380860552,0.772292301000435
7,0.6318418016125416,0.6649037977233807,0.6223015162720987,0.6762606671838635,0.7096806996135855,0.8411474026756659,0.7698417075726656
8,0.6308528582815447,0.6662805144219469,0.6181992417393589,0.6716834755624516,0.7128495130380145,0.8204170181993492,0.7628600246553849
9,0.628229818756091,0.6655249991605386,0.6111553781341452,0.6749418153607447,0.7181557420588548,0.8147523201157044,0.7634105025409373
10,0.6257782658995937,0.6681273295053893,0.6175779705643192,0.6678820791311094,0.7231607023783063,0.7842593708569362,0.7524718126626192
11,0.6237659434721663,0.6660790436855714,0.6051906446461718,0.6688906128782002,0.7163569971002041,0.8039050259129806,0.7576101771921854
12,0.6227308622763446,0.6658607837211645,0.6023231776857487,0.6708301008533747,0.7173959673959674,0.8061950102446668,0.7592077634640486
13,0.6210221778929768,0.6686310063463282,0.6036729929334346,0.6743987587276958,0.720335339638865,0.8077618416295046,0.761547639338674
14,0.619035581581572,0.6702259830093013,0.5983806254884085,0.6793638479441427,0.7142857142857143,0.8364469085211522,0.7705545994559485
15,0.6179601509323058,0.6697223061683624,0.6083202690510346,0.665089216446858,0.7245542766869781,0.7738941786187779,0.7484119121160907
16,0.619148907722962,0.6706792921661462,0.5890911552312302,0.6744763382467028,0.7218915701763878,0.804025551404122,0.7607480898620139
