model,best_epoch,test_accuracy,test_precision,test_recall,test_f1
Logistic Regression,-,0.8,0.7619047619047619,0.9411764705882353,0.8421052631578947
GNN (Cascading+DRNL),31,0.7666666666666667,0.7083333333333334,1.0,0.8292682926829268
Random Forest,-,0.7666666666666667,0.7272727272727273,0.9411764705882353,0.8205128205128205
