model,accuracy,precision,recall,f1
GAT,0.772689598010775,0.7789780103836111,0.772689598010775,0.7749532842920864
GCN,0.7720679651885619,0.7738613212544012,0.7720679651885619,0.7727865551388143
GraphSAGE,0.7774554496477414,0.7794922332363023,0.7774554496477414,0.7783015622462793
GIN,0.7752451996132063,0.7806504181762807,0.7752451996132063,0.7771201470138682
TransformerConv,0.7764884652576323,0.779161316521939,0.7764884652576323,0.7776549491993876
GINE,0.777938941842796,0.7834258753961202,0.777938941842796,0.7801114575658072
