model,best_epoch,test_accuracy,test_precision,test_recall,test_f1
Logistic Regression,-,0.8666666666666667,0.8,1.0,0.8888888888888888
Random Forest,-,0.8666666666666667,0.8,1.0,0.8888888888888888
GNN (ADVANCED: 1000+4L+128H),7,0.6,0.5714285714285714,1.0,0.7272727272727273
