epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,0.9807243889703837,0.5366388508690597,0.8946872335135099,0.5854638675258089,0.594020432193445
2,0.8870384883003042,0.5960822405698559,0.7991587748929269,0.6297374073304234,0.6255092060234902
3,0.8533031052667062,0.6156121683076515,0.8139090886658181,0.6326474052518534,0.6244591569839306
4,0.8229563016773019,0.6315216271505733,0.7681746434365886,0.6577981015727846,0.6481759107223269
5,0.8116448100099838,0.6370847866719649,0.7627335738831793,0.6548881036513545,0.6602009509114164
6,0.7962349403542602,0.647063152162715,0.7574202579057102,0.6626480981085013,0.6678279424657643
7,0.7893306566387924,0.6489764080827704,0.7710142438578389,0.6598766715166632,0.6674192340015853
8,0.7817919731871741,0.6526557463905691,0.7709319218936402,0.6591145292039077,0.6660685082319271
9,0.7728312171608894,0.6595434677027683,0.7066439413226486,0.6904316496916788,0.6915798934446211
10,0.7671995931507369,0.6609268989065007,0.7180361460806847,0.6793459433243262,0.6807042510532403
11,0.7568173185474452,0.6688889870045771,0.7251480141507359,0.6828102265641239,0.6880958374909092
12,0.755750388523277,0.6683002928753293,0.7351750836652868,0.6692302362641169,0.6753689815085083
13,0.7498316244533267,0.6714203717603426,0.7336684708856936,0.6823252269105522,0.6744434504519469
14,0.7377565857544675,0.6780726154208427,0.6968410755074347,0.69451950391464,0.696004197974955
15,0.7336617084369317,0.6788967872017896,0.6916384983482327,0.6968752165177025,0.6982256836689794
16,0.7278901695738457,0.681192694305856,0.7049287988706264,0.6951430748978037,0.6972571791416626
17,0.7270410592461927,0.6825761255095883,0.717852117307781,0.6777523730340193,0.6860215940397789
18,0.7229884326697459,0.6846659896684181,0.7603258250335031,0.6582138155615603,0.6665309710375406
19,0.7195452947792864,0.6852252490912034,0.7031200291014739,0.6893230790549435,0.6884426334857189
20,0.7161034933673008,0.6887868485731526,0.6915603335901629,0.6892537933901476,0.6960039226507708
21,0.7127084456327053,0.6894049774088628,0.7496513515361867,0.6642416683988083,0.6722392770817703
22,0.71737227093009,0.6860494208721504,0.7031918924389878,0.6875216517702487,0.6924555267161623
23,0.7099731285047438,0.6924073174680265,0.6682725209155069,0.7060902099355644,0.7110543141518662
24,0.7124080323614358,0.6885513709214535,0.6943296700796548,0.6973602161712742,0.7006075801547313
25,0.7090709939396618,0.6922012745227898,0.6843707834014954,0.705120210628421,0.7092970052597792
26,0.6986189916338905,0.6972493266810896,0.6446513750114883,0.7180073442804684,0.7211353478332785
27,0.696174758911231,0.7000309064417856,0.6458050987910954,0.7193237719115915,0.7227690043604097
28,0.6927276966776973,0.6994274949593066,0.6961480407765062,0.7019330700478071,0.7065431742901518
29,0.69164167455166,0.7016203805907546,0.6413048282570232,0.7198087715651632,0.7207616008740467
30,0.6908570055716197,0.7022679441329271,0.6318923099070884,0.7262523383911869,0.7277410465667474
31,0.6875847919665508,0.703695527396353,0.6676882479110379,0.7132266334095476,0.7102034028038554
32,0.6890224794458164,0.7039457224012834,0.6537672953918522,0.7145430610406707,0.7195582271518238
33,0.6869988461406555,0.7032098547397236,0.6380358746581553,0.7225109124922053,0.7272954162949804
34,0.6779056692627992,0.707919407773706,0.6598053732359722,0.714058061387099,0.7126684356624919
35,0.6770454047382284,0.7110983560716441,0.6498339166762155,0.7127416337559759,0.7130145941431363
36,0.673426012527966,0.712982177285237,0.6440866152412438,0.7208480565371025,0.7256329466543897
37,0.6755280885387348,0.7105832487085523,0.6263640451780651,0.7211944848610823,0.7198421458162003
38,0.6710938812153091,0.7130116119916994,0.6291910967030298,0.733596618859558,0.7362283528373543
39,0.6633317383100215,0.7161611255831751,0.6232012070791312,0.722926626480981,0.7241388853797076
40,0.6677415849641541,0.7153222364489971,0.6337912735977516,0.7222337698330216,0.7258975799671864
41,0.6657415791315922,0.7152486496828411,0.6102790787732421,0.7376844730825193,0.7399780918158654
42,0.6564480134433319,0.719781594478049,0.6532659723044582,0.7108709208064852,0.7172376886059764
43,0.6569300393767902,0.7194136606472692,0.6903064172398249,0.7015173560590314,0.7080535679103233
44,0.654719412396552,0.7209589827365447,0.647736829370188,0.7168987736437331,0.7171646506484141
45,0.6534098388869861,0.7219597627562659,0.6330749690119709,0.7285387653294534,0.7263304410405622
46,0.6503424995797871,0.7226661957113633,0.6092989806064918,0.7362987597866002,0.7375486384527182
47,0.6513415098502598,0.721665415691642,0.7042510690208714,0.6969445021824985,0.6962886361887649
48,0.6581431646432101,0.7194872474134252,0.6064101119101076,0.7360216171274163,0.7389836202005
49,0.6444458390335946,0.725138711054204,0.6297839053874946,0.7314487632508834,0.7348578111584299
50,0.6424320295584874,0.7247266251637305,0.6226015009586359,0.7270144807039424,0.7319980053598658
51,0.6421434044937078,0.7260659043077693,0.6099476765683541,0.7333194762003742,0.7374862671627075
52,0.6394170580998806,0.7274493355115016,0.6041420159399042,0.7381694727360909,0.73995840140548
53,0.63392381573342,0.7294656129041753,0.5852641053319696,0.7441280399085429,0.7470103102054451
54,0.6304831409555401,0.7305252623368214,0.5785804957880314,0.7457908958636458,0.748714609987041
55,0.6273827508671113,0.7297305252623368,0.6221946228948839,0.7214023418554701,0.7265294221542462
56,0.6293912289770595,0.7300543070334231,0.5894663278843288,0.7397630430263978,0.7430495983283334
57,0.622026278239022,0.7339249709332274,0.60632822103579,0.7330423335411903,0.7380349884199341
58,0.6227669406620903,0.7333657115104419,0.5878218913812577,0.7405251853391533,0.7444773641249246
59,0.6194575138619568,0.7337336453412219,0.5886998498653709,0.7426730409478279,0.7456762482234023
60,0.6159918818398094,0.735485010375734,0.5689640907415984,0.7468301808355852,0.7504243386940007
61,0.6126707508070751,0.7381782860170427,0.5559520595106573,0.7538973186447724,0.7561531939541387
62,0.6107922771355033,0.7379428083653435,0.5688738089473218,0.7427423266126238,0.7463606127978518
