fold,accuracy,precision,recall,f1
1,0.7610159605493398,0.7691421807318329,0.7610159605493398,0.7633906738990192
2,0.7721253310679127,0.7778524558656695,0.7721253310679127,0.7739605285430623
3,0.7524445735308355,0.7604687755277232,0.7524445735308355,0.7530594221829467
4,0.7673133083020443,0.7743738661000487,0.7673133083020443,0.7695914337619139
5,0.7568532267275843,0.7640381990540533,0.7568532267275843,0.7588884568306213
