scenario_type,count,avg_affected,avg_failed,avg_degraded,avg_normal,avg_unlabeled,pct_failed,pct_degraded,pct_normal,pct_unlabeled,avg_node_disruptions,avg_edge_disruptions,cascade_ratio
central,182,42.97802197802198,28.604395604395606,7.978021978021978,6.395604395604396,157.02197802197801,66.55586806443365,18.56302735873178,14.88110457683457,78.51098901098901,5.0,0.0,8.595604395604395
cyber_attack_logistics,182,73.23076923076923,23.357142857142858,27.335164835164836,22.53846153846154,126.76923076923077,31.895258103241297,37.32743097238896,30.77731092436975,63.38461538461539,0.0,67.82967032967034,73.23076923076923
distributor_hub_failure,182,4.252747252747253,0.19230769230769232,0.11538461538461539,3.9450549450549453,195.74725274725276,4.521963824289406,2.713178294573644,92.76485788113695,97.87362637362638,4.027472527472527,0.0,1.0559345156889495
hybrid_node_edge,181,109.43646408839778,57.5414364640884,34.11602209944751,17.77900552486188,90.56353591160222,52.57976575121164,31.174273021001614,16.245961227786754,45.28176795580111,0.0,0.0,109.43646408839778
infrastructure_failure,181,91.17127071823204,27.375690607734807,30.85635359116022,32.93922651933702,108.82872928176796,30.026663434735184,33.844382499091026,36.128954066173804,54.41436464088398,0.0,128.5027624309392,91.17127071823204
major_supplier_failure,182,18.318681318681318,7.1208791208791204,4.956043956043956,6.241758241758242,181.6813186813187,38.87222555488902,27.05458908218357,34.07318536292742,90.84065934065934,0.0,6.813186813186813,18.318681318681318
random_multi_node,182,19.043956043956044,11.576923076923077,3.368131868131868,4.0989010989010985,180.95604395604394,60.79053664166185,17.686093479515293,21.523369878822848,90.47802197802197,3.598901098901099,0.0,5.291603053435114
random_supplier_failure,182,50.71978021978022,33.92307692307692,8.06043956043956,8.736263736263735,149.28021978021977,66.88332791680207,15.892102697432565,17.224569385765353,74.64010989010988,5.0,0.0,10.143956043956043
regional_failure_variable,182,101.03296703296704,53.42307692307692,30.708791208791208,16.9010989010989,98.96703296703296,52.8768762236241,30.394822710463345,16.72830106591255,49.48351648351648,49.879120879120876,0.0,2.025556289931703
trade_restriction,182,46.972527472527474,21.934065934065934,13.60989010989011,11.428571428571429,153.02747252747253,46.69551994385308,28.974149023277572,24.33033103286934,76.51373626373626,0.0,29.692307692307693,46.972527472527474
transportation_route_disruption,182,18.626373626373628,10.038461538461538,4.527472527472527,4.06043956043956,181.37362637362637,53.89380530973451,24.306784660766958,21.799410029498524,90.68681318681318,0.0,8.285714285714286,18.626373626373628
